Genipa americana,Rubiaceae,90,87,86,77,71,67,68,65
Geonoma interrupta,Arecaceae,19,14,4,0,0,0,0,0
Guapira standleyana,Nyctaginaceae,231,213,200,187,165,165,155,157
Guarea bullata,Meliaceae,1557,1541,1486,1321,1120,898,792,677
Guarea grandifolia,Meliaceae,53,57,61,66,67,63,72,87
Guarea guidonia,Meliaceae,1781,1894,2069,2035,1959,1901,1989,2092
Guatteria dumetorum,Annonaceae,1584,1582,1569,1364,1138,991,941,971
Guazuma ulmifolia,Malvaceae,55,54,53,49,61,64,74,81
Guettarda foliacea,Rubiaceae,384,390,381,347,306,270,252,245
Gustavia superba,Lecythidaceae,879,856,871,843,802,788,744,714
Hamelia axillaris,Rubiaceae,114,99,128,127,94,118,140,128
Hamelia patens,Rubiaceae,0,2,2,1,1,1,0,0
Hampea appendiculata,Malvaceae,76,50,40,23,27,142,193,122
Hasseltia floribunda,Salicaceae,1139,1029,878,690,549,490,424,409
Heisteria acuminata,Erythropalaceae,109,113,114,108,106,101,94,97
Heisteria concinna,Erythropalaceae,884,965,1002,987,964,937,901,880
Herrania purpurea,Malvaceae,520,554,593,593,574,582,600,593
Hieronyma alchorneoides,Euphorbiaceae,101,102,100,90,79,86,118,111
Hirtella americana,Chrysobalanaceae,51,51,51,41,30,26,22,18
Hirtella triandra,Chrysobalanaceae,4144,4724,5170,5201,4900,4709,4551,4313
Hura crepitans,Euphorbiaceae,127,121,119,112,105,103,95,94
Hybanthus prunifolius,Violaceae,39835,42072,42729,38550,34017,32049,30131,29664
Inga acuminata,Fabaceae-mimosoideae,211,257,316,356,379,442,621,921
Inga cocleensis,Fabaceae-mimosoideae,131,122,122,90,59,55,61,64
Inga goldmanii,Fabaceae-mimosoideae,495,482,498,428,382,340,313,327
Inga laurina,Fabaceae-mimosoideae,71,75,95,95,80,64,61,54
Inga marginata,Fabaceae-mimosoideae,898,878,882,611,449,439,806,1167
Inga mucuna,Fabaceae-mimosoideae,1,1,1,1,3,2,1,0
Inga nobilis,Fabaceae-mimosoideae,782,805,821,767,704,653,600,572
Inga oerstediana,Fabaceae-mimosoideae,11,11,11,9,6,3,4,6
Inga pezizifera,Fabaceae-mimosoideae,203,208,205,167,142,142,158,174
Inga punctata,Fabaceae-mimosoideae,18,21,24,20,19,30,55,49
Inga ruiziana,Fabaceae-mimosoideae,38,31,24,18,14,10,9,7
Inga sapindoides,Fabaceae-mimosoideae,395,388,386,339,287,246,228,240
Inga spectabilis,Fabaceae-mimosoideae,22,23,23,19,17,19,19,20
Inga thibaudiana,Fabaceae-mimosoideae,61,81,112,144,176,237,285,350
Inga umbellifera,Fabaceae-mimosoideae,951,1023,1084,1013,886,844,822,829
Jacaranda copaia,Bignoniaceae,343,320,299,279,264,280,327,309
Jacaratia spinosa,Caricaceae,0,0,0,0,0,0,0,5
Koanophyllon wetmorei,Asteraceae,15,12,12,9,3,0,0,0
Lacistema aggregatum,Lacistemataceae,1560,1720,1818,1754,1524,1407,1391,1468
Lacmellea panamensis,Apocynaceae,92,93,101,103,100,101,102,106
Laetia procera,Salicaceae,24,23,30,27,26,25,28,34
Laetia thamnia,Salicaceae,512,527,564,545,481,439,432,456
Lafoensia punicifolia,Lythraceae,10,9,8,8,7,6,6,4
Leandra dichotoma,Melastomataceae,0,1,2,1,1,1,1,4
Licania hypoleuca,Chrysobalanaceae,120,123,135,142,132,135,148,169
Licania platypus,Chrysobalanaceae,252,294,322,318,293,275,257,245
Lindackeria laurina,Achariaceae,110,101,90,84,72,61,54,43
Lonchocarpus heptaphyllus,Fabaceae-papilionoideae,845,898,973,919,806,737,714,679
Lozania pittieri,Lacistemataceae,18,15,7,4,3,1,1,1
Luehea seemannii,Malvaceae,188,198,234,212,218,194,222,202
Lycianthes maxonii,Solanaceae,1,1,0,0,0,0,0,0
Maclura tinctoria,Moraceae,2,2,1,1,1,1,1,1
Macrocnemum roseum,Rubiaceae,100,108,115,106,95,97,92,95
Malpighia romeroana,Malpighiaceae,51,65,66,59,50,45,46,48
Maquira guianensis,Moraceae,1417,1472,1547,1533,1489,1422,1351,1265
Margaritaria nobilis,Phyllanthaceae,3,4,6,4,4,2,2,2
Marila laxiflora,Clusiaceae,23,27,26,27,28,29,27,26
Maytenus schippii,Celastraceae,88,90,95,97,88,87,86,83
Miconia affinis,Melastomataceae,370,405,455,427,405,427,468,499
Miconia argentea,Melastomataceae,530,689,918,822,615,531,689,661
Miconia dorsiloba,Melastomataceae,0,0,0,0,1,2,2,3
Miconia elata,Melastomataceae,34,32,32,25,17,13,13,10
Miconia hondurensis,Melastomataceae,30,29,38,48,56,61,72,77
Miconia impetiolaris,Melastomataceae,10,9,14,15,14,14,13,12
Miconia nervosa,Melastomataceae,358,317,366,300,317,294,411,494
Miconia prasina,Melastomataceae,0,0,2,2,2,2,4,4
Mosannona garwoodii,Annonaceae,276,325,382,423,456,497,531,574
Mouriri myrtilloides,Melastomataceae,6924,7798,7967,7584,6863,6939,7239,7525
Myrcia gatunensis,Myrtaceae,41,51,57,52,50,48,57,66
Myrospermum frutescens,Fabaceae-papilionoideae,26,23,21,17,14,9,17,16
Nectandra cissiflora,Lauraceae,351,358,374,327,287,267,261,248
Nectandra fuzzy,Lauraceae,9,9,7,3,3,2,1,1
Nectandra lineata,Lauraceae,114,122,151,143,138,156,252,281
Nectandra purpurea,Lauraceae,85,85,99,100,96,94,99,103
Nectandra sp.4_(tiny_leaf),Lauraceae,1,1,0,0,0,0,0,0
Neea amplifolia,Nyctaginaceae,62,76,84,79,74,77,73,62
Ochroma pyramidale,Malvaceae,4,8,6,6,9,10,11,7
Ocotea cernua,Lauraceae,355,382,445,442,431,435,479,519
Ocotea oblonga,Lauraceae,217,203,231,200,167,186,264,323
Ocotea puberula,Lauraceae,270,266,284,246,203,191,203,204
Ocotea whitei,Lauraceae,1118,974,820,602,452,408,405,415
