Hampea appendiculata,Malvaceae,35,16,14,9,19,132,160,84
Hasseltia floribunda,Salicaceae,879,757,611,457,338,302,265,247
Heisteria acuminata,Erythropalaceae,104,106,105,101,96,92,83,82
Heisteria concinna,Erythropalaceae,639,704,710,684,665,634,594,559
Herrania purpurea,Malvaceae,520,529,546,528,510,520,541,536
Hieronyma alchorneoides,Euphorbiaceae,57,58,57,47,39,45,77,70
Hirtella americana,Chrysobalanaceae,43,40,42,35,27,22,17,14
Hirtella triandra,Chrysobalanaceae,3626,4104,4405,4361,4039,3796,3611,3349
Hura crepitans,Euphorbiaceae,27,22,17,11,7,8,5,8
Hybanthus prunifolius,Violaceae,39827,41085,40438,36058,31925,29840,27845,26869
Inga acuminata,Fabaceae-mimosoideae,200,242,287,316,332,374,538,816
Inga cocleensis,Fabaceae-mimosoideae,101,86,76,52,44,46,53,52
Inga goldmanii,Fabaceae-mimosoideae,433,412,407,347,305,280,264,265
Inga laurina,Fabaceae-mimosoideae,63,66,81,82,66,53,49,41
Inga marginata,Fabaceae-mimosoideae,818,717,629,441,294,300,670,1006
Inga mucuna,Fabaceae-mimosoideae,1,1,1,1,3,1,0,0
Inga nobilis,Fabaceae-mimosoideae,746,746,725,658,592,547,485,453
Inga oerstediana,Fabaceae-mimosoideae,7,8,8,4,1,0,3,5
Inga pezizifera,Fabaceae-mimosoideae,179,183,169,124,103,107,126,129
Inga punctata,Fabaceae-mimosoideae,10,13,15,10,11,22,49,37
Inga ruiziana,Fabaceae-mimosoideae,28,24,16,11,8,4,4,3
Inga sapindoides,Fabaceae-mimosoideae,328,291,255,217,175,133,126,140
Inga spectabilis,Fabaceae-mimosoideae,10,11,10,5,5,7,10,11
Inga thibaudiana,Fabaceae-mimosoideae,55,72,84,91,91,134,192,232
Inga umbellifera,Fabaceae-mimosoideae,930,986,1032,940,812,781,748,742
Jacaranda copaia,Bignoniaceae,119,90,58,41,33,59,118,89
Jacaratia spinosa,Caricaceae,0,0,0,0,0,0,0,5
Koanophyllon wetmorei,Asteraceae,15,12,12,9,3,0,0,0
Lacistema aggregatum,Lacistemataceae,1517,1629,1662,1599,1373,1244,1234,1328
Lacmellea panamensis,Apocynaceae,56,55,57,52,45,45,47,44
Laetia procera,Salicaceae,15,14,19,15,12,10,16,19
