Mollinedia pinchotiana,Monimiaceae,177,167,171,138,114
Mortoniodendron anisophyllum,Malvaceae,39,34,32,27,19
Mosannona garwoodii,Annonaceae,1,1,1,0,0
Mouriri myrtilloides,Melastomataceae,45,44,46,43,45
Myrcia gatunensis,Myrtaceae,75,77,80,70,74
Myrciaria floribunda,Myrtaceae,19,19,19,23,27
Myriocarpa longipes,Urticaceae,0,0,0,1,0
Nectandra purpurea,Lauraceae,137,124,134,133,123
Neea amplifolia,Nyctaginaceae,56,57,57,42,46
Neea delicatula,Nyctaginaceae,0,0,1,0,0
Ochroma pyramidale,Malvaceae,0,0,2,0,0
Ocotea atirrensis,Lauraceae,127,114,108,71,54
Ocotea cernua,Lauraceae,3,2,2,4,3
Ocotea insularis,Lauraceae,55,48,51,64,69
Ocotea oblonga,Lauraceae,1,1,1,0,0
Ocotea puberula,Lauraceae,3,3,2,4,4
Ocotea whitei,Lauraceae,1,1,1,1,0
Oenocarpus mapora,Arecaceae,218,209,209,206,217
Ormosia coccinea,Fabaceae-papilionoideae,14,12,14,16,15
Ouratea prominens,Ochnaceae,42,41,41,45,47
Oxandra longipetala,Annonaceae,42,42,43,39,37
Palicourea guianensis,Rubiaceae,16,10,9,22,16
Parathesis trichogyne,Myrsinaceae,14,14,14,16,20
Pentagonia macrophylla,Rubiaceae,42,38,36,35,33
Pera arborea,Euphorbiaceae,258,239,230,167,145
Perebea xanthochyma,Moraceae,791,751,755,803,862
Phyllanthus acuminatus,Phyllanthaceae,1,1,1,0,0
Picramnia latifolia,Picramniaceae,1,1,1,0,0
Piper aequale,Piperaceae,67,59,57,90,79
Piper arboreum,Piperaceae,43,31,29,31,34
Piper augustum,Piperaceae,47,39,43,92,43
Piper auritum,Piperaceae,0,1,1,1,0
Piper colonense,Piperaceae,1,1,1,5,9
Piper cordulatum,Piperaceae,23,24,28,30,30
Piper longispicum,Piperaceae,1,1,1,2,1
Piper reticulatum,Piperaceae,0,0,0,1,7
Piper schiedeanum,Piperaceae,0,0,0,2,1
Piper sp.5,Piperaceae,0,0,1,0,0
Pleuranthodendron lindenii,Salicaceae,20,12,10,1,0
Posoqueria latifolia,Rubiaceae,9,9,9,10,11
Poulsenia armata,Moraceae,20,14,13,17,26
Pourouma bicolor,Urticaceae,104,90,86,82,80
Pouteria reticulata,Sapotaceae,19,21,19,21,19
Pouteria sp.4,Sapotaceae,1,1,1,1,0
Prestoea decurrens,Arecaceae,20,12,12,15,15
Protium glabrum,Burseraceae,59,49,45,52,47
Protium panamense,Burseraceae,1251,1200,1217,1228,1208
Protium tenuifolium,Burseraceae,1,1,1,1,0
Pseudobombax septenatum,Malvaceae,0,0,0,1,0
Pseudolmedia spuria,Moraceae,13,13,14,19,19
Psychotria acuminata,Rubiaceae,0,0,0,2,1
Psychotria brachiata,Rubiaceae,0,0,0,0,1
Psychotria brachybotrya,Rubiaceae,0,1,1,2,2
Psychotria chagrensis,Rubiaceae,6,4,5,1,2
Psychotria deflexa,Rubiaceae,3,2,3,3,1
Psychotria elata,Rubiaceae,71,44,37,75,48
Psychotria erecta,Rubiaceae,6,5,8,7,7
Psychotria poeppigiana,Rubiaceae,4,3,3,11,3
Psychotria suerrensis,Rubiaceae,219,189,201,149,121
Quiina schippii,Quiinaceae,78,75,79,60,49
Randia armata,Rubiaceae,3,3,3,1,0
Sapium broadleaf,Euphorbiaceae,3,3,3,13,11
Sapium glandulosum,Euphorbiaceae,0,0,0,2,12
Saurauia yasicae,Actinidiaceae,7,6,6,6,4
Schefflera morototoni,Araliaceae,20,13,10,5,4
Schizolobium parahyba,Fabaceae-caesalpinioideae,0,0,0,0,1
Simarouba amara,Simaroubaceae,94,86,76,73,94
Siparuna guianensis,Siparunaceae,0,0,0,1,0
Siparuna pauciflora,Siparunaceae,1,1,1,3,3
Sloanea meianthera,Elaeocarpaceae,108,99,100,101,94
Socratea exorrhiza,Arecaceae,319,304,314,323,357
Solanum hayesii,Solanaceae,0,0,0,3,4
Sorocea affinis,Moraceae,41,35,35,26,22
Spondias mombin,Anacardiaceae,0,0,0,0,4
Spondias radlkoferi,Anacardiaceae,2,1,2,1,2
