Mnemonic,1,2,3,4,5,6,7,8
poular,3422,2679,2120,1774,1403,1162,993,855
pourbi,40,43,43,48,59,104,130,161
poutfo,3,3,3,3,3,3,3,4
poutre,1652,1720,1767,1628,1403,1207,1087,1013
poutst,65,65,66,71,72,65,60,56
pri2co,1353,1405,1439,1417,1380,1348,1327,1273
protco,919,865,876,820,760,699,698,738
protpa,2743,2872,3060,3013,2906,2857,3022,3114
protsp,1,2,4,3,4,8,11,15
protte,2601,2840,3015,2934,2845,2827,2897,3063
pse1se,23,16,19,17,16,35,42,32
psidfr,40,43,47,53,52,56,57,56
psycac,8,11,16,13,12,8,14,20
psycb1,NA,NA,1,1,NA,1,3,NA
psycch,13,17,15,9,6,13,16,22
psycde,88,77,60,30,15,13,38,69
psycfu,5,1,2,NA,NA,NA,1,5
psycg1,10,14,44,57,52,53,65,66
psycg2,7,5,4,1,NA,2,NA,NA
psycg3,104,97,81,65,46,38,57,45
psycho,6160,6434,5902,4856,3936,3120,2455,1742
psycli,15,17,19,22,23,65,70,58
psycma,577,686,690,629,553,579,758,922
psycpi,4,3,3,3,3,5,4,4
psycps,NA,NA,NA,1,1,1,NA,NA
psycra,1,2,2,NA,NA,2,7,10
pterof,9,8,3,3,1,1,1,1
pterro,1574,1626,1702,1606,1463,1379,1224,1055
quaras,2395,2382,2349,2292,2202,2138,2170,2244
quasam,159,155,151,145,133,120,116,112
randar,1128,1155,1143,1108,1003,958,937,922
randfo,4,4,4,4,4,3,1,1
rauvli,NA,NA,NA,1,1,1,1,1
rinosy,2577,2619,2598,2423,2314,2276,2265,2234
sapiau,48,42,41,34,40,52,40,33
sapisp,3,3,3,3,4,3,3,3
sch1zo,44,40,36,33,30,34,32,32
sch2mo,1,1,NA,NA,NA,NA,NA,NA
schipa,4,4,6,6,6,8,9,9
sennda,202,135,113,72,65,134,161,245
simaam,1237,1248,1289,1238,1230,1478,1575,1824
sipacr,38,34,32,31,30,27,26,25
