Guarea grandifolia	Meliaceae	(L.) Sleumer	53	54	60	64	65	59	67	81
Guarea guidonia	Meliaceae	(L.) Sleumer	1780	1827	1963	1922	1833	1770	1886	1966
Guarea bullata	Meliaceae	Radlk.	1556	1490	1375	1225	1035	823	724	615
Guatteria lucens	Annonaceae	Standl.	1584	1525	1469	1255	1039	895	876	891
Guazuma ulmifolia	Malvaceae	Lam.	55	50	52	49	61	64	74	80
Guettarda foliacea	Rubiaceae	Standl.	384	384	372	340	301	268	251	233
Gustavia superba	Lecythidaceae	(Kunth) O.Berg	879	818	825	789	751	733	691	668
Hamelia axillaris	Rubiaceae	Sw.	114	92	108	117	88	98	128	103
Hamelia patens	Rubiaceae	Jacq.	0	2	2	1	1	1	0	0
Hampea appendiculata	Malvaceae	(Donn.Sm.) Standl.	76	49	39	22	27	142	189	117
Hasseltia floribunda	Salicaceae	Kunth	1139	1012	859	686	542	484	418	387
Heisteria acuminata	Erythropalaceae	(Humb. & Bonpl.) Engl.	109	112	112	108	105	99	93	95
Heisteria concinna	Erythropalaceae	Standl.	884	959	984	973	954	927	896	871
Herrania purpurea	Malvaceae	(Pittier) R.E. Schult.	520	529	546	528	510	520	541	536
Hirtella americana	Chrysobalanaceae	L.	51	48	48	40	30	25	21	18
Hirtella triandra	Chrysobalanaceae	Sw.	4143	4660	5026	5044	4758	4563	4407	4165
Hura crepitans	Euphorbiaceae	L.	127	119	118	112	105	103	95	94
Pombalia prunifolia	Violaceae	(Humb. & Bonpl. ex Willd.) Paula-Souza	39830	41091	40439	36058	31925	29840	27845	26869
Hieronyma alchorneoides	Euphorbiaceae	Allemão	101	100	99	88	78	85	118	110
Inga cocleensis*	Fabaceae	Pittier	131	111	99	65	50	48	55	58
Inga laurina	Fabaceae	(Sw.) Willd.	71	74	89	92	76	61	57	51
Inga goldmanii	Fabaceae	Pittier	495	463	458	396	344	312	297	308
Inga mucuna	Fabaceae	Walp. & Duchass.	1	1	1	1	3	1	0	0
Inga marginata	Fabaceae	Willd.	898	789	717	539	397	402	769	1104
Inga oerstediana	Fabaceae	Benth.	11	11	10	6	3	2	4	6
Inga pezizifera	Fabaceae	Benth.	203	197	181	144	122	128	145	159
Inga punctata	Fabaceae	Willd.	18	21	24	20	19	29	55	47
Inga nobilis	Fabaceae	Willd.	782	787	778	725	666	618	558	540
Inga ruiziana	Fabaceae	G.Don	38	31	22	16	12	8	8	7
Inga acuminata	Fabaceae	Benth.	211	256	307	343	372	430	608	895
Inga sapindoides	Fabaceae	Willd.	395	359	332	293	249	205	197	210
