Ouratea prominens	Ochnaceae	Dwyer	42	41	41	45
Oxandra longipetala	Annonaceae	R.E. Fr.	42	42	43	39
Palicourea guianensis	Rubiaceae	Aubl.	16	10	9	20
Pentagonia macrophylla	Rubiaceae	Benth.	42	38	36	35
Pera arborea	Euphorbiaceae	Mutis	329	314	308	252
Perebea xanthochyma	Moraceae	H. Karst.	906	866	870	919
Cinnamomum triplinerve	Lauraceae	(Kunth) Koesterm.	17	16	15	18
Phyllanthus acuminatus	Phyllanthaceae	Vahl	1	1	1	1
Picramnia latifolia	Picramniaceae	Tul.	1	1	1	0
Piper sp.5	Piperaceae		0	0	1	0
Piper arboreum	Piperaceae	Aubl.	43	31	29	31
Piper augustum	Piperaceae	Rudge	47	39	43	93
Piper aequale	Piperaceae	Vahl	67	59	57	90
Piper auritum	Piperaceae	Kunth	0	1	1	1
Piper schiedeanum	Piperaceae	Steud.	0	0	0	2
Piper cordulatum	Piperaceae	C. DC.	22	24	27	30
Piper colonense	Piperaceae	C. DC.	2	1	2	4
Piper longispicum	Piperaceae	C. DC.	1	1	1	2
Piper reticulatum	Piperaceae	L.	0	0	0	1
Abarema barbouriana	Fabaceae	(Standl.) Barneby & J.W. Grimes	10	12	12	10
Posoqueria latifolia	Rubiaceae	(Rudge) Roem. & Schult.	9	9	9	10
Poulsenia armata	Moraceae	(Miq.) Standl.	31	23	22	22
Pourouma bicolor	Urticaceae	Mart.	140	128	123	118
Pouteria sp.4	Sapotaceae		1	1	1	1
Pouteria reticulata	Sapotaceae	(Engl.) Eyma	30	31	29	29
Prestoea decurrens	Arecaceae	(H. A. Wendl. ex Burret) H.E. Moore	21	13	13	16
Protium glabrum	Burseraceae	(Rose) Engl.	59	49	45	52
Protium panamense	Burseraceae	(Rose) I.M. Johnst.	1362	1313	1328	1340
Protium tenuifolium	Burseraceae	Engl.	1	1	1	2
Pseudobombax septenatum	Malvaceae	(Jacq.) Dugand	0	0	0	2
Pseudolmedia spuria	Moraceae	(Sw.) Griseb.	13	13	14	20
Psychotria acuminata	Rubiaceae	Benth.	0	0	0	2
Psychotria brachybotrya	Rubiaceae	Müll.Arg.	0	1	1	2
Psychotria chagrensis	Rubiaceae	Standl.	6	4	5	1
Psychotria deflexa	Rubiaceae	DC.	3	2	3	3
Psychotria elata	Rubiaceae	(Sw.) Hammel	71	44	37	77
Psychotria erecta	Rubiaceae	(Aubl.) Standl. & Steyerm.	6	5	8	7
Psychotria poeppigiana	Rubiaceae	Müll.Arg.	4	3	3	11
Psychotria suerrensis	Rubiaceae	Donn. Sm.	219	189	201	148
Pterocarpus rohrii	Fabaceae	Vahl	1	1	1	0
Quiina schippii	Quiinaceae	Standl.	82	79	83	64
Randia armata	Rubiaceae	(Sw.) DC.	3	3	3	1
Sapium glandulosum	Euphorbiaceae	(L.) Morong	0	0	0	2
Sapium broadleaf	Euphorbiaceae		6	6	6	16
Saurauia yasicae	Actinidiaceae	Loes.	12	9	9	9
Schefflera morototoni	Araliaceae	(Aubl.) Maguire, Stey. & Frod.	64	58	56	42
Schizolobium parahyba	Fabaceae	(Vell.) S.F. Blake	2	2	1	1
Simarouba amara	Simaroubaceae	Aubl.	180	168	158	143
Siparuna guianensis	Siparunaceae	Aubl.	0	0	0	1
Siparuna pauciflora	Siparunaceae	(Beurl.) A. DC.	1	1	1	3
Sloanea meianthera	Elaeocarpaceae	Donn. Sm.	157	148	148	136
Sloanea terniflora	Elaeocarpaceae	(Sessé & Moc. ex DC.) Standl.	1	1	1	1
Socratea exorrhiza	Arecaceae	(Mart.) H. Wendl.	609	581	612	644
Solanum hayesii	Solanaceae	Fernald	0	0	0	3
Sorocea affinis	Moraceae	Hemsl.	41	35	35	26
Spondias radlkoferi	Anacardiaceae	Donn. Sm.	2	1	2	1
Swartzia simplex	Fabaceae	(Sw.) Spreng.	1	1	1	5
Swartzia simplex	Fabaceae	(Sw.) Spreng.	301	291	298	298
Symphonia globulifera	Clusiaceae	L. f.	127	128	131	138
Synechanthus warscewiczianus	Arecaceae	H. Wendl.	445	422	393	377
Tabernaemontana arborea	Apocynaceae	Rose in Donn. Sm.	31	31	31	30
Tachigali versicolor	Fabaceae	Standl. & L.O. Williams	540	524	549	527
Talauma sambuensis	Magnoliaceae	Pittier	0	0	0	1
Tapirira guianensis	Anacardiaceae	Aubl.	726	687	693	730
Terminalia amazonia	Combretaceae	(J.F. Gmel.) Exell	12	11	11	12
Tetrorchidium gorgonae	Euphorbiaceae	Croizat	36	34	33	27
Theobroma bernoullii	Malvaceae	Pittier	151	147	146	136
Thevetia ahouai	Apocynaceae	(L.) A. DC.	0	0	0	2
Tocoyena pittieri	Rubiaceae	(Standl.) Standl.	24	23	23	17
Tovomita longifolia	Clusiaceae	(Rich.) Hochr.	1303	1291	1306	1248
Tovomita stylosa	Clusiaceae	Hemsl.	902	898	909	966
Trattinnickia aspera	Burseraceae	(Standl.) Swart	112	107	97	77
Trichilia tuberculata	Meliaceae	(Triana & Planch.) C. DC.	12	12	12	10
Trichospermum galeottii	Malvaceae	(Turcz.) Kosterm.	6	2	2	2
Turpinia occidentalis	Tapisciaceae	(Sw.) G. Don	2	2	2	1
Unidentified (sherman)*	Unknown		1	1	1	0
Unidentified species*	Unknown		8	2	6	10
Unonopsis panamensis	Annonaceae	R.E. Fr.	555	546	557	621
Unonopsis pittieri	Annonaceae	Saff.	0	0	0	1
Vantanea depleta	Humiriaceae	McPherson	30	29	29	28
Virola elongata	Myristicaceae	(Benth.) Warb.	247	250	260	291
Virola sebifera	Myristicaceae	Aubl.	300	315	328	433
Virola multiflora	Myristicaceae	(Standl.) A.C. Sm.	142	138	143	170
Virola surinamensis	Myristicaceae	(Rol. ex Rottb.) Warb.	40	39	39	54
Vismia baccifera	Clusiaceae	(L.) Tr. & Pl.	41	39	42	47
Vismia macrophylla	Clusiaceae	Kunth	63	44	39	29
Vochysia ferruginea	Vochysiaceae	Mart.	175	165	157	160
Xylopia macrantha	Annonaceae	Triana & Planch.	339	332	340	347
Zanthoxylum panamense	Rutaceae	P. Wilson	1	0	0	1
Zanthoxylum acuminatum	Rutaceae	(Sw.) Sw.	1	1	1	1
